,wl,u,g,r,i,z,y
185,485,0.0,0.542605,4.2e-05,9e-06,0.0,6.4e-05
186,486,0.0,0.543528,6.8e-05,1.4e-05,0.0,0.000105
187,487,0.0,0.546119,0.000119,5.999999999999999e-06,0.0,2.6e-05
188,488,0.0,0.548331,0.000207,2.9999999999999997e-06,0.0,1e-05
189,489,0.0,0.549046,0.000291,2e-06,0.0,1.3e-05
190,490,0.0,0.550704,0.000274,2.9999999999999997e-06,0.0,2.7000000000000002e-05
191,491,0.0,0.5528730000000001,0.000223,8e-06,0.0,4.4000000000000006e-05
192,492,0.0,0.555204,0.00021600000000000002,3.5000000000000004e-05,0.0,5.1000000000000006e-05
193,493,0.0,0.555458,0.000237,5.4000000000000005e-05,0.0,3.9e-05
194,494,0.0,0.555941,0.00019800000000000002,5e-05,0.0,6.8e-05
195,495,0.0,0.556781,0.000155,8e-06,0.0,4.9e-05
196,496,1e-06,0.559376,0.000144,2e-06,0.0,5.7999999999999994e-05
197,497,2e-05,0.561302,0.000164,1e-06,0.0,0.000171
198,498,2.3999999999999997e-05,0.563375,0.00022700000000000002,1e-06,0.0,0.000131
199,499,2.9999999999999997e-06,0.563396,0.000332,1e-06,0.0,7.1e-05
200,500,2e-06,0.5640160000000001,0.00040300000000000004,2e-06,0.0,7.3e-05
201,501,2.9999999999999997e-06,0.564066,0.000392,2.9999999999999997e-06,0.0,0.000194
202,502,1.4e-05,0.5652429999999999,0.00030900000000000003,7e-06,0.0,0.000173
203,503,8.2e-05,0.566079,0.000235,1.5e-05,0.0,9.499999999999999e-05
204,504,0.0037890000000000003,0.567472,0.000196,2.8e-05,0.0,0.00033099999999999997
205,505,4.7000000000000004e-05,0.56953,0.000179,4e-05,0.0,0.00030700000000000004
206,506,4.4999999999999996e-05,0.570701,0.00017500000000000003,4.7000000000000004e-05,0.0,0.000174
207,507,3e-05,0.572576,0.00017999999999999998,3.1e-05,0.0,4.7000000000000004e-05
208,508,1.1999999999999999e-05,0.574525,0.000193,1.4e-05,0.0,3.6e-05
209,509,4e-05,0.5744859999999999,0.000213,8e-06,0.0,5.2e-05
210,510,7.400000000000001e-05,0.57387,0.000241,8e-06,0.0,5.4999999999999995e-05
211,511,0.000582,0.573628,0.00028000000000000003,8e-06,0.0,1.4e-05
212,512,0.000319,0.572942,0.00033,8e-06,0.0,5.999999999999999e-06
213,513,0.000107,0.572942,0.00039600000000000003,8e-06,0.0,4e-06
214,514,9.499999999999999e-05,0.5732269999999999,0.000481,8e-06,0.0,4e-06
215,515,0.003407,0.573786,0.0005899999999999999,1e-05,0.0,4e-06
216,516,0.000126,0.574337,0.000729,1.4e-05,0.0,4e-06
217,517,0.00013299999999999998,0.575517,0.000904,1.8e-05,0.0,5.999999999999999e-06
218,518,0.00010200000000000001,0.576754,0.001124,1.4e-05,0.0,8e-06
219,519,0.000336,0.5771390000000001,0.001392,1e-05,0.0,1.1000000000000001e-05
220,520,0.000269,0.578003,0.001719,5.999999999999999e-06,0.0,8e-06
221,521,0.000524,0.578383,0.002115,5e-06,0.0,7e-06
